Model Type,Model,Accuracy,F1 Score,MAE (Team A),MAE (Team B),MAE (Diff)
Differential Regression,LR_Diff_SelectKBest,0.6645962732919255,0.6645962732919255,-,-,14.725079031205969
Differential Regression,LR_Diff_Baseline,0.6645962732919255,0.6645962732919255,-,-,14.725079031205969
Score Regression,LogisticRegression,0.6583850931677019,0.6583850931677019,-,-,-
Differential Regression,LR_Diff_AlphaSelection,0.6490683229813664,0.6490683229813664,-,-,14.67397679749829
Score Regression,LR_Baseline,0.6257763975155279,0.6257763975155279,10.74094608636002,10.740946086360024,-
Score Regression,LR_SelectKBest,0.6257763975155279,0.6257763975155279,10.74094608636002,10.740946086360024,-
Score Regression,LR_Backward,0.6211180124223602,0.6211180124223602,10.744436886701857,10.744436886701845,-
Score Regression,SVR,0.6063664596273292,0.6432090077410274,10.674740545401379,10.56801627661559,-
Score Regression,LR_Forward,0.6040372670807453,0.6040372670807453,10.79727487931821,10.797274879318211,-
